,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
195,César Azpilicueta,Chelsea,2,1.1,4.7,1146,39,0,0,3,4,Defender
196,Thiago Emiliano da Silva,Chelsea,2,5.4,5.4,1901,73,0,2,6,8,Defender
197,Marcos Alonso,Chelsea,2,0.7,5.3,0,0,0,0,0,0,Defender
198,Ross Barkley,Chelsea,3,0.0,4.9,0,0,0,0,0,0,Midfielder
199,Mateo Kovacic,Chelsea,3,0.3,4.9,1544,47,1,1,4,2,Midfielder
200,Kepa Arrizabalaga,Chelsea,1,7.2,4.6,2115,106,0,0,9,15,Goalkeeper
201,N'Golo Kanté,Chelsea,3,1.1,4.8,365,11,0,0,2,0,Midfielder
202,Hakim Ziyech,Chelsea,3,0.4,5.5,599,23,0,1,2,0,Midfielder
203,Ruben Loftus-Cheek,Chelsea,3,0.1,5.0,1311,37,0,0,5,1,Midfielder
204,Timo Werner,Chelsea,4,0.2,7.9,0,0,0,0,0,0,Forward
205,Robert Kenedy Nunes do Nascimento,Chelsea,2,0.2,3.9,0,0,0,0,0,0,Defender
206,Ben Chilwell,Chelsea,2,4.8,5.7,1238,67,2,3,4,4,Defender
207,Christian Pulisic,Chelsea,3,0.4,5.6,772,36,1,1,3,0,Midfielder
208,Trevoh Chalobah,Chelsea,2,0.5,4.4,1192,41,0,0,5,0,Defender
209,Mason Mount,Chelsea,3,3.5,7.2,1644,82,3,4,8,8,Midfielder
210,Malang Sarr,Chelsea,2,0.0,5.0,0,0,0,0,0,0,Defender
211,Callum Hudson-Odoi,Chelsea,3,0.0,5.3,0,0,0,0,0,0,Midfielder
212,Kai Havertz,Chelsea,4,3.1,7.4,2215,94,7,1,9,13,Forward
213,Reece James,Chelsea,2,11.2,5.8,1242,44,1,2,2,5,Defender
214,Edouard Mendy,Chelsea,1,5.8,4.8,765,23,0,0,1,0,Goalkeeper
215,Conor Gallagher,Chelsea,3,0.5,5.6,1191,49,2,1,4,4,Midfielder
216,Armando Broja,Chelsea,4,0.3,5.2,285,21,1,1,1,0,Forward
217,Ethan Ampadu,Chelsea,2,0.0,4.4,0,0,0,0,0,0,Defender
218,Wesley Fofana,Chelsea,2,1.0,4.3,1052,33,1,0,2,4,Defender
219,Raheem Sterling,Chelsea,3,3.3,9.7,1541,73,4,2,5,6,Midfielder
220,Kalidou Koulibaly,Chelsea,2,5.6,5.5,1789,73,2,1,6,8,Defender
221,Harvey Vale,Chelsea,3,0.0,4.5,0,0,0,0,0,0,Midfielder
222,Denis Zakaria,Chelsea,3,0.0,4.9,409,13,0,0,2,0,Midfielder
223,Pierre-Emerick Aubameyang,Chelsea,4,0.7,8.4,501,24,1,0,1,3,Forward
224,Marcus Bettinelli,Chelsea,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
225,Omari Hutchinson,Chelsea,3,0.0,4.2,22,1,0,0,0,0,Midfielder
226,Lewis Hall,Chelsea,3,0.0,4.3,303,8,0,0,1,0,Midfielder
227,Bashir Humphreys,Chelsea,2,0.0,4.5,0,0,0,0,0,0,Defender
228,David Datro Fofana,Chelsea,4,0.1,5.0,60,2,0,0,0,0,Forward
229,Benoît Badiashile,Chelsea,2,0.4,5.0,724,32,0,0,4,2,Defender
230,João Félix Sequeira,Chelsea,4,1.5,7.2,801,30,2,0,2,5,Forward
231,Mykhailo Mudryk,Chelsea,3,0.8,6.5,485,20,0,2,0,0,Midfielder
232,Andrey Nascimento dos Santos,Chelsea,3,0.0,4.5,0,0,0,0,0,0,Midfielder
233,Noni Madueke,Chelsea,3,0.0,5.4,225,8,0,0,0,0,Midfielder
234,Enzo Fernández,Chelsea,3,0.9,5.0,1027,32,0,2,3,1,Midfielder
235,Albert Sambi Lokonga,Crystal Palace,3,0.2,4.3,728,23,0,0,2,0,Midfielder
236,Vicente Guaita,Crystal Palace,1,1.5,4.4,2430,99,0,0,6,10,Goalkeeper
237,James Tomkins,Crystal Palace,2,0.9,3.9,335,8,1,0,0,1,Defender
238,James McArthur,Crystal Palace,3,0.0,4.8,19,2,0,0,0,0,Midfielder
239,Christian Benteke,Crystal Palace,4,0.1,5.5,0,0,0,0,0,0,Forward
240,Joel Ward,Crystal Palace,2,0.3,4.4,1893,61,0,0,7,4,Defender
241,Nathaniel Clyne,Crystal Palace,2,0.1,4.5,1638,44,0,0,3,0,Defender
